date,segment,balance,deposit_rate,policy_rate
2021-07-01,retail_demand,100000000.0,0.2,9.0
2021-08-01,retail_demand,102003332.0,0.206,9.0
2021-09-01,retail_demand,100165230.0,0.185,9.0
2021-10-01,retail_demand,100462613.0,0.2,9.0
2021-11-01,retail_demand,101381108.0,0.294,9.5
2021-12-01,retail_demand,102759072.0,0.255,9.5
2022-01-01,retail_demand,104091033.0,0.229,9.5
2022-02-01,retail_demand,105318878.0,0.232,9.5
2022-03-01,retail_demand,104441635.0,0.375,10.5
2022-04-01,retail_demand,103323042.0,0.375,10.5
2022-05-01,retail_demand,104321722.0,0.358,10.5
2022-06-01,retail_demand,103878064.0,0.375,10.5
2022-07-01,retail_demand,101931778.0,0.466,11.0
2022-08-01,retail_demand,100489886.0,0.467,11.0
2022-09-01,retail_demand,99580661.0,0.49,11.0
2022-10-01,retail_demand,100867973.0,0.499,11.0
2022-11-01,retail_demand,101559155.0,0.482,11.0
2022-12-01,retail_demand,102905124.0,0.489,11.0
2023-01-01,retail_demand,102287343.0,0.47,11.0
2023-02-01,retail_demand,102324753.0,0.488,11.0
2023-03-01,retail_demand,102961197.0,0.412,10.5
2023-04-01,retail_demand,102092802.0,0.408,10.5
2023-05-01,retail_demand,102465648.0,0.395,10.5
2023-06-01,retail_demand,101308781.0,0.419,10.5
2023-07-01,retail_demand,100736691.0,0.566,11.5
2023-08-01,retail_demand,100388304.0,0.557,11.5
2023-09-01,retail_demand,98998044.0,0.55,11.5
2023-10-01,retail_demand,100200529.0,0.561,11.5
2023-11-01,retail_demand,99780463.0,0.718,12.5
2023-12-01,retail_demand,99903455.0,0.726,12.5
2024-01-01,retail_demand,100479282.0,0.735,12.5
2024-02-01,retail_demand,100763314.0,0.778,12.5
2024-03-01,retail_demand,101195401.0,0.77,12.5
2024-04-01,retail_demand,100403153.0,0.76,12.5
2024-05-01,retail_demand,99188545.0,0.743,12.5
2024-06-01,retail_demand,98679427.0,0.756,12.5
2024-07-01,retail_demand,95982493.0,0.853,13.0
2024-08-01,retail_demand,93954795.0,0.851,13.0
2024-09-01,retail_demand,92331197.0,0.834,13.0
2024-10-01,retail_demand,91258584.0,0.818,13.0
2024-11-01,retail_demand,92051387.0,0.831,13.0
2024-12-01,retail_demand,90864099.0,0.845,13.0
2025-01-01,retail_demand,90165542.0,0.856,13.0
2025-02-01,retail_demand,91489199.0,0.843,13.0
2025-03-01,retail_demand,90440011.0,0.773,12.5
2025-04-01,retail_demand,90815040.0,0.775,12.5
2025-05-01,retail_demand,88984820.0,0.779,12.5
2025-06-01,retail_demand,88340053.0,0.797,12.5
2025-07-01,retail_demand,86905772.0,0.876,13.0
2025-08-01,retail_demand,86543025.0,0.89,13.0
2025-09-01,retail_demand,87896980.0,0.891,13.0
2025-10-01,retail_demand,85947790.0,0.897,13.0
2025-11-01,retail_demand,86664928.0,1.06,14.0
2025-12-01,retail_demand,86941945.0,1.03,14.0
2026-01-01,retail_demand,85883329.0,1.024,14.0
2026-02-01,retail_demand,83488921.0,1.015,14.0
2026-03-01,retail_demand,82817739.0,1.077,14.5
2026-04-01,retail_demand,81333425.0,1.071,14.5
2026-05-01,retail_demand,80867235.0,1.101,14.5
2026-06-01,retail_demand,80326416.0,1.084,14.5
2021-07-01,commercial_demand,60000000.0,0.248,9.0
2021-08-01,commercial_demand,60811298.0,0.252,9.0
2021-09-01,commercial_demand,65240930.0,0.266,9.0
2021-10-01,commercial_demand,63050270.0,0.254,9.0
2021-11-01,commercial_demand,62455291.0,0.511,9.5
2021-12-01,commercial_demand,62784864.0,0.471,9.5
2022-01-01,commercial_demand,63459981.0,0.491,9.5
2022-02-01,commercial_demand,65655996.0,0.491,9.5
2022-03-01,commercial_demand,65923514.0,1.045,10.5
2022-04-01,commercial_demand,65224029.0,1.029,10.5
2022-05-01,commercial_demand,67590681.0,1.054,10.5
2022-06-01,commercial_demand,73650397.0,1.073,10.5
2022-07-01,commercial_demand,69279114.0,1.345,11.0
2022-08-01,commercial_demand,69824135.0,1.334,11.0
2022-09-01,commercial_demand,73103489.0,1.327,11.0
2022-10-01,commercial_demand,74402190.0,1.311,11.0
2022-11-01,commercial_demand,80103690.0,1.312,11.0
2022-12-01,commercial_demand,79475499.0,1.299,11.0
2023-01-01,commercial_demand,75975813.0,1.311,11.0
2023-02-01,commercial_demand,78622403.0,1.304,11.0
2023-03-01,commercial_demand,68182724.0,1.022,10.5
2023-04-01,commercial_demand,65956464.0,1.053,10.5
2023-05-01,commercial_demand,72327343.0,1.038,10.5
2023-06-01,commercial_demand,72099369.0,1.007,10.5
2023-07-01,commercial_demand,73348431.0,1.564,11.5
2023-08-01,commercial_demand,70742747.0,1.522,11.5
2023-09-01,commercial_demand,71531152.0,1.528,11.5
2023-10-01,commercial_demand,72059252.0,1.547,11.5
2023-11-01,commercial_demand,78902610.0,2.099,12.5
2023-12-01,commercial_demand,75807792.0,2.099,12.5
2024-01-01,commercial_demand,66421750.0,2.058,12.5
